barrio,lat_centroide,lon_centroide,poi_gastronomia_900m,poi_transporte_900m,poi_total_900m
Agronomia,-34.59495579729087,-58.48972484124924,30.0,53.0,83.0
Barracas,-34.6328170492244,-58.374999360039496,42.0,190.0,232.0
Boca,-34.63326936096694,-58.364346974410445,38.0,114.0,152.0
Boedo,-34.6268965142887,-58.41914194613986,52.0,116.0,168.0
Chacarita,-34.58602068121611,-58.4486149805986,122.0,160.0,282.0
Coghlan,-34.56138383490752,-58.47269254252805,51.0,93.0,144.0
Constitucion,-34.62111787656976,-58.381922599821735,149.0,228.0,377.0
Flores,-34.627137029644366,-58.46375520251844,52.0,133.0,185.0
Floresta,-34.628752883528115,-58.48379828327871,36.0,115.0,151.0
Liniers,-34.6425687669654,-58.51870120933005,80.0,98.0,178.0
Mataderos,-34.65266307296495,-58.49977444637435,12.0,75.0,87.0
Monserrat,-34.61271775120092,-58.37872298729315,336.0,214.0,550.0
Monte Castro,-34.619199627964946,-58.506331126685936,14.0,75.0,89.0
Nuñez,-34.54856140514306,-58.46378053932944,120.0,64.0,184.0
Palermo,-34.582582715825595,-58.42725539897025,354.0,130.0,484.0
Parque Chacabuco,-34.63268448683726,-58.438879084412775,42.0,78.0,120.0
Parque Chas,-34.58440186918487,-58.47663737185043,43.0,99.0,142.0
Paternal,-34.60113925495892,-58.465662999124106,28.0,66.0,94.0
Puerto Madero,-34.61354560874205,-58.36295444747448,139.0,64.0,203.0
Retiro,-34.59498570362545,-58.379968756076295,303.0,220.0,523.0
Saavedra,-34.549632087796105,-58.47972309795158,58.0,96.0,154.0
San Cristobal,-34.62252054783617,-58.40219627984214,38.0,140.0,178.0
San Nicolas,-34.603474674586295,-58.38226487518219,449.0,219.0,668.0
Velez Sarsfield,-34.63291553947862,-58.48943646753328,31.0,110.0,141.0
Villa Crespo,-34.59698036406883,-58.43869353684176,142.0,154.0,296.0
Villa Del Parque,-34.60158847520102,-58.48944527155611,28.0,77.0,105.0
Villa Gral. Mitre,-34.60867200231157,-58.46750021108147,32.0,79.0,111.0
Villa Luro,-34.63722825082056,-58.501619709116426,30.0,82.0,112.0
Villa Ortuzar,-34.58152839733205,-58.4691612185094,56.0,109.0,165.0
Villa Pueyrredon,-34.58565358065195,-58.50231559199442,21.0,62.0,83.0
Villa Real,-34.622968471955176,-58.52507230627564,27.0,92.0,119.0
Villa Santa Rita,-34.61268655053051,-58.48251290669085,25.0,90.0,115.0
Villa Soldati,-34.6757114,-58.45365020000001,7.0,12.0,19.0
Almagro,-34.60507692489874,-58.42225986298403,106.0,138.0,244.0
Belgrano,-34.559154454068086,-58.45502378551623,448.0,132.0,580.0
Caballito,-34.61685542083721,-58.44068372910188,91.0,138.0,229.0
