,tipo,% nulos,valores_unicos
id,int64,0.0,27166
barrio,str,0.0,48
latitude,float64,0.0,17620
longitude,float64,0.0,18962
room_type,str,0.0,4
property_type,str,0.0,51
accommodates,int64,0.0,16
bedrooms,float64,17.6,18
beds,float64,3.6,29
price_clean,float64,0.0,18653
minimum_nights,float64,0.0,30
number_of_reviews,int64,0.0,438
review_scores_rating,float64,11.5,137
review_scores_location,float64,11.5,121
review_scores_value,float64,11.5,143
estimated_occupancy_l365d,int64,0.0,95
ocupacion_pct_365d,float64,0.0,95
n_amenities,int64,0.0,91
poi_gastronomia_900m,float64,24.2,31
poi_transporte_900m,float64,24.2,33
poi_total_900m,float64,24.2,34
instant_bookable,float64,100.0,0
host_is_superhost,str,0.0,2
tiene_wifi,bool,0.0,2
tiene_pileta,bool,0.0,2
tiene_aire_acondicionado,bool,0.0,2
tiene_cochera,bool,0.0,2
tiene_cocina,bool,0.0,2
tiene_ascensor,bool,0.0,2
tiene_gimnasio,bool,0.0,2
acepta_mascotas,bool,0.0,2
